Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn,Customer_Engagement,Average_Call_Duration,Revenue_Per_Month
6,0,39,2,6560,89,191,28,3,1,1,30,1029.96,0,308,72.88888888888889,25.749000000000002
3,0,39,1,935,17,5,13,2,1,1,25,65.34,0,35,51.94444444444444,1.6335000000000002
5,0,40,1,770,17,18,10,3,1,1,30,103.48,0,45,42.77777777777778,2.5239024390243903
3,1,39,1,60,3,5,2,2,1,1,25,25.335,1,10,15.0,0.633375
6,0,39,1,7568,130,389,45,3,1,1,30,1863.92,0,564,57.770992366412216,46.598
10,0,39,2,11525,157,16,49,4,2,1,45,332.05,0,222,72.94303797468355,8.30125
11,0,39,2,6778,78,113,39,2,1,1,25,817.02,0,230,85.79746835443038,20.4255
26,1,35,1,1015,50,21,19,3,1,1,30,126.6,1,90,19.901960784313726,3.5166666666666666
24,1,38,9,10495,96,6,44,5,2,1,55,167.865,0,146,108.19587628865979,4.304230769230769
16,0,38,2,5878,101,31,26,2,1,1,25,408.555,0,158,57.627450980392155,10.475769230769231
4,0,36,1,2900,25,5,16,3,1,1,30,137.0,0,46,111.53846153846153,3.7027027027027026
12,0,37,1,3050,44,14,18,3,1,1,30,179.76,1,76,67.77777777777777,4.730526315789473
12,1,38,1,2328,47,39,33,3,1,1,30,251.0,1,119,48.5,6.435897435897436
3,0,38,1,193,5,5,4,3,1,1,30,27.92,1,14,32.166666666666664,0.7158974358974359
4,0,38,1,1728,28,5,8,4,1,1,45,56.4,0,41,59.58620689655172,1.4461538461538461
6,0,35,2,6845,100,19,24,5,1,1,55,132.675,0,143,67.77227722772277,3.685416666666667
3,0,38,1,688,10,14,6,4,1,1,45,52.45,1,30,62.54545454545455,1.344871794871795
3,0,38,2,398,7,9,4,5,1,1,55,19.575,0,20,49.75,0.5019230769230769
28,0,33,4,16135,241,5,82,2,1,1,25,759.42,0,328,66.67355371900827,22.335882352941177
9,1,36,4,7025,119,276,35,3,2,1,30,1389.76,0,430,58.541666666666664,37.56108108108108
5,0,38,1,3778,85,7,30,3,1,1,30,182.52,0,122,43.93023255813954,4.680000000000001
6,0,37,1,1725,47,43,22,3,1,1,30,242.88,0,112,35.9375,6.391578947368421
9,0,38,1,2840,56,180,25,2,1,1,25,940.32,0,261,49.824561403508774,24.110769230769233
7,0,29,2,1375,39,198,13,3,2,1,30,848.56,0,250,34.375,28.28533333333333
7,0,28,1,1628,42,35,70,4,1,1,45,129.25,0,147,37.86046511627907,4.456896551724138
14,0,29,1,760,28,15,9,3,1,1,30,91.52,0,52,26.20689655172414,3.0506666666666664
3,0,28,1,885,13,26,5,4,1,1,45,87.45,0,44,63.214285714285715,3.0155172413793103
13,0,27,1,1285,35,24,15,2,1,1,25,167.4,0,74,35.69444444444444,5.978571428571429
5,0,27,1,3285,64,13,25,3,1,1,30,185.96,0,102,50.53846153846154,6.6414285714285715
5,0,20,1,1755,29,33,16,2,1,1,25,228.78,0,78,58.5,10.894285714285715
19,0,19,2,6453,144,90,44,2,2,1,25,701.865,0,278,44.50344827586207,35.09325
15,0,17,1,8993,174,78,42,5,1,1,55,254.505,0,294,51.38857142857143,14.139166666666666
11,0,18,4,2913,48,36,21,3,1,1,30,262.44,0,105,59.44897959183673,13.812631578947368
5,0,11,2,4450,43,220,12,3,1,1,30,1059.72,0,275,101.13636363636364,88.31
6,1,11,2,1548,22,5,9,3,1,1,30,82.8,1,36,67.30434782608695,6.8999999999999995
5,0,36,0,4310,68,0,15,2,1,1,25,197.01,0,83,62.46376811594203,5.324594594594594
0,0,37,0,258,2,2,2,2,1,2,25,20.7,0,6,86.0,0.5447368421052632
7,0,35,0,2393,57,354,22,2,1,1,25,1703.25,0,433,41.258620689655174,47.3125
7,0,36,0,4138,63,0,33,1,1,1,15,231.055,0,96,64.65625,6.2447297297297295
0,0,36,0,2333,55,0,31,1,1,1,15,131.34,0,86,41.660714285714285,3.5497297297297297
8,0,36,0,3715,79,27,26,3,1,1,30,259.76,0,132,46.4375,7.02054054054054
1,0,36,0,2300,36,280,16,3,1,1,30,1213.44,0,332,62.16216216216216,32.795675675675675
10,0,35,1,9055,118,139,41,3,1,1,30,922.92,0,298,76.09243697478992,25.636666666666667
4,0,36,0,13713,166,0,42,3,1,1,30,555.16,0,208,82.11377245508982,15.004324324324324
4,0,36,0,4455,80,0,23,3,1,1,30,181.4,0,103,55.0,4.902702702702703
3,0,36,0,5858,92,2,10,2,1,1,25,276.75,0,104,62.98924731182796,7.47972972972973
6,1,36,0,2178,51,3,15,3,1,2,30,101.16,0,69,41.88461538461539,2.734054054054054
22,0,36,2,15080,222,49,30,3,1,1,30,808.08,0,301,67.62331838565022,21.84
1,0,36,0,3035,24,478,6,3,1,1,30,2034.36,0,508,121.4,54.9827027027027
6,0,35,0,15425,179,145,28,2,1,1,25,1354.68,0,352,85.69444444444444,37.63
0,0,35,0,6440,83,181,24,3,1,1,30,984.92,0,288,76.66666666666667,27.358888888888888
0,0,35,0,815,11,0,9,2,1,2,25,37.17,0,20,67.91666666666667,1.0325
0,0,36,0,650,11,8,6,2,1,2,25,65.745,0,25,54.166666666666664,1.7768918918918921
0,0,35,0,0,0,0,0,2,1,2,25,0.0,1,0,0.0,0.0
0,0,35,0,7448,124,379,41,2,1,1,25,2046.24,0,544,59.584,56.84
4,0,35,0,11405,151,6,45,3,1,1,30,486.24,0,202,75.03289473684211,13.506666666666668
5,0,35,0,6658,72,103,35,2,1,1,25,766.35,0,210,91.20547945205479,21.2875
20,0,31,0,895,44,11,15,2,1,2,25,91.755,1,70,19.88888888888889,2.86734375
18,0,34,7,10375,90,0,40,4,1,1,45,261.625,0,130,114.01098901098901,7.475
10,0,34,0,5758,95,21,22,2,1,1,25,357.885,1,138,59.979166666666664,10.225285714285715
0,0,32,0,2780,19,0,12,3,1,1,30,111.96,0,31,139.0,3.3927272727272726
6,0,33,0,2930,38,4,14,2,1,2,25,151.56,1,56,75.12820512820512,4.45764705882353
6,1,34,0,2208,41,29,29,3,1,2,30,205.96,1,99,52.57142857142857,5.884571428571429
0,1,34,0,0,0,0,0,3,1,2,30,0.0,1,0,0.0,0.0
0,0,34,0,1608,22,0,4,3,1,1,30,65.2,0,26,69.91304347826087,1.862857142857143
0,0,31,0,6725,94,9,20,4,1,1,45,192.975,0,123,70.78947368421052,6.03046875
0,0,34,0,568,4,4,2,4,1,2,45,24.3,1,10,113.6,0.6942857142857143
0,0,34,0,0,0,0,0,5,1,1,55,0.0,0,0,0.0,0.0
22,0,29,2,16015,235,0,78,2,1,1,25,731.25,0,313,67.86016949152543,24.375
3,0,32,2,6905,113,266,31,2,2,1,25,1512.81,0,410,60.57017543859649,45.842727272727274
0,0,34,0,3658,79,0,26,2,1,1,25,168.165,0,105,45.725,4.804714285714286
0,0,33,0,1605,41,33,18,3,1,2,30,197.84,0,92,38.214285714285715,5.818823529411765
3,0,34,0,2720,50,170,21,2,1,1,25,889.65,0,241,53.333333333333336,25.41857142857143
1,0,25,0,1255,33,188,9,2,2,1,25,903.96,0,230,36.911764705882355,34.76769230769231
1,0,24,0,1508,36,25,66,4,1,1,45,101.1,0,127,40.75675675675676,4.044
8,0,25,0,640,22,5,5,2,1,2,25,52.29,0,32,27.82608695652174,2.0111538461538463
0,1,24,0,765,7,16,1,4,1,2,45,59.3,1,24,95.625,2.372
7,0,23,0,1165,29,14,11,2,1,1,25,116.73,0,54,38.833333333333336,4.8637500000000005
0,0,23,0,3165,58,3,21,3,1,1,30,140.92,0,82,53.644067796610166,5.871666666666666
0,0,16,0,1635,23,23,12,2,1,1,25,178.11,0,58,68.125,10.477058823529413
13,0,15,0,6333,138,80,40,1,2,1,15,795.905,0,258,45.56115107913669,49.7440625
9,0,13,0,8873,168,68,38,4,1,1,45,396.025,0,274,52.50295857988166,28.287499999999998
5,0,14,2,2793,42,26,17,3,1,1,30,217.4,0,85,64.95348837209302,14.493333333333334
0,0,7,0,4330,37,210,8,3,1,1,30,1014.68,0,255,113.94736842105263,126.835
0,0,7,0,1428,16,0,5,3,1,1,30,57.76,1,21,84.0,7.22
9,0,42,1,4450,73,15,21,3,1,1,30,240.92,0,109,60.13513513513514,5.602790697674418
1,1,43,0,398,7,17,8,3,1,2,30,84.2,1,32,49.75,1.9136363636363638
11,0,41,1,2533,62,369,28,3,1,1,30,1579.8,0,459,40.20634920634921,37.614285714285714
11,0,42,1,4278,68,11,39,1,1,1,15,299.53,0,118,62.0,6.965813953488372
4,0,42,1,2473,60,12,37,2,1,1,25,167.985,0,109,40.540983606557376,3.9066279069767447
12,0,42,2,3855,84,42,32,3,1,1,30,325.56,0,158,45.35294117647059,7.571162790697675
5,0,42,1,2440,41,295,22,3,1,1,30,1279.24,0,358,58.095238095238095,29.749767441860467
14,0,41,3,9195,123,154,47,3,1,1,30,988.72,0,324,74.15322580645162,23.540952380952383
8,0,42,1,13853,171,10,48,3,1,1,30,600.96,0,229,80.54069767441861,13.975813953488373
8,0,42,2,4595,85,12,29,3,1,1,30,235.2,0,126,53.43023255813954,5.469767441860465
7,0,42,1,5998,97,17,16,3,1,1,30,311.8,0,130,61.204081632653065,7.251162790697674
10,0,42,0,2318,56,18,21,3,1,2,30,166.96,0,95,40.666666666666664,3.8827906976744186
26,0,42,4,15220,227,64,36,3,2,1,30,873.88,0,327,66.75438596491227,20.322790697674417
5,0,42,2,3175,29,493,12,3,1,1,30,2100.16,0,534,105.83333333333333,48.84093023255814
10,0,41,1,15565,184,160,34,2,1,1,25,1428.705,0,378,84.13513513513513,34.01678571428571
4,0,41,2,6580,88,196,30,3,1,1,30,1050.72,0,314,73.93258426966293,25.017142857142858
1,0,41,0,955,16,10,15,2,1,2,25,88.695,0,41,56.1764705882353,2.111785714285714
3,0,42,0,790,16,23,12,3,1,2,30,124.24,0,51,46.470588235294116,2.8893023255813954
1,0,41,0,80,2,10,4,2,1,2,25,48.69,1,16,26.666666666666668,1.1592857142857143
4,0,41,1,7588,129,394,47,3,1,1,30,1884.68,0,570,58.36923076923077,44.873333333333335
8,0,41,2,11545,156,21,51,4,1,1,45,345.025,0,228,73.53503184713375,8.214880952380952
9,0,41,2,6798,77,118,41,2,1,1,25,840.375,0,236,87.15384615384616,20.008928571428573
24,1,37,0,1035,49,26,21,3,1,2,30,147.36,1,96,20.7,3.8778947368421055
22,1,40,9,10515,95,11,46,5,1,1,55,175.65,0,152,109.53125,4.284146341463415
14,0,40,2,5898,100,36,28,2,1,1,25,431.91,1,164,58.396039603960396,10.53439024390244
2,0,38,1,2920,24,10,18,3,1,1,30,157.76,0,52,116.8,4.045128205128205
10,0,39,0,3070,43,19,20,3,1,2,30,200.52,1,82,69.77272727272727,5.013
10,1,40,0,2348,46,44,35,3,1,2,30,271.76,1,125,49.95744680851064,6.628292682926829
1,0,40,0,213,4,10,6,3,1,2,30,48.68,1,20,42.6,1.1873170731707317
2,0,40,1,1748,27,10,10,4,1,1,45,69.375,0,47,62.42857142857143,1.6920731707317074
4,0,37,2,6865,99,24,26,5,1,1,55,140.46,0,149,68.65,3.6963157894736844
1,1,40,0,708,9,19,8,4,1,2,45,65.425,1,36,70.8,1.5957317073170731
1,0,40,2,418,6,14,6,5,1,1,55,27.36,0,26,59.714285714285715,0.6673170731707317
26,0,35,4,16155,240,10,84,2,1,1,25,782.775,0,334,67.03319502074689,21.74375
7,1,38,4,7045,118,281,37,2,2,1,25,1586.835,0,436,59.20168067226891,40.68807692307693
3,0,40,1,3798,84,12,32,3,1,1,30,203.28,0,128,44.68235294117647,4.958048780487805
4,0,39,0,1745,46,48,24,3,1,2,30,263.64,0,118,37.12765957446808,6.590999999999999
7,0,40,1,2860,55,185,27,2,1,1,25,963.675,0,267,51.07142857142857,23.504268292682926
5,0,31,2,1395,38,203,15,2,2,1,25,977.985,0,256,35.76923076923077,30.56203125
5,0,30,1,1648,41,40,72,4,1,1,45,142.225,0,153,39.23809523809524,4.587903225806452
12,0,31,0,780,27,20,11,3,1,2,30,112.28,0,58,27.857142857142858,3.50875
1,0,30,0,905,12,31,7,4,1,2,45,100.425,0,50,69.61538461538461,3.239516129032258
11,0,29,1,1305,34,29,17,2,1,1,25,190.755,0,80,37.285714285714285,6.3585
3,0,29,1,3305,63,18,27,3,1,1,30,206.72,0,108,51.640625,6.890666666666666
3,0,22,1,1775,28,38,18,2,1,1,25,252.135,0,84,61.206896551724135,10.962391304347825
17,0,21,2,6473,143,95,46,2,2,1,25,725.22,0,284,44.951388888888886,32.96454545454546
13,0,19,1,9013,173,83,44,5,1,1,55,262.29,0,300,51.798850574712645,13.114500000000001
9,0,20,4,2933,47,41,23,3,1,1,30,283.2,0,111,61.104166666666664,13.485714285714286
3,0,13,2,4470,42,225,14,3,1,1,30,1080.48,0,281,103.95348837209302,77.17714285714285
4,0,13,2,1568,21,10,11,3,1,1,30,103.56,1,42,71.27272727272727,7.397142857142858
7,0,34,0,4290,69,0,13,2,1,1,25,196.155,0,82,61.285714285714285,5.6044285714285715
0,0,35,0,0,0,0,0,2,1,2,25,0.0,0,0,0.0,0.0
9,0,33,0,2373,58,349,20,2,1,1,25,1679.895,0,427,40.220338983050844,49.40867647058823
9,0,34,0,4118,64,0,31,1,1,1,15,230.01,0,95,63.353846153846156,6.571714285714285
2,0,34,0,2313,56,0,29,1,1,1,15,130.295,0,85,40.578947368421055,3.7227142857142854
10,0,34,0,3695,80,22,24,3,1,1,30,239.0,0,126,45.617283950617285,6.828571428571428
3,0,34,0,2280,37,275,14,3,1,1,30,1192.68,0,326,60.0,34.076571428571434
12,0,33,1,9035,119,134,39,3,1,1,30,902.16,0,292,75.29166666666667,26.53411764705882
6,0,34,0,13693,167,0,40,3,1,1,30,554.4,0,207,81.50595238095238,15.84
6,0,34,0,4435,81,0,21,3,1,1,30,180.64,0,102,54.08536585365854,5.161142857142857
5,0,34,0,5838,93,0,8,2,1,1,25,266.895,0,101,62.1063829787234,7.625571428571428
8,0,34,0,2158,52,0,13,3,1,2,30,88.4,0,65,40.716981132075475,2.525714285714286
24,0,34,2,15060,223,44,28,3,1,1,30,787.32,0,295,67.23214285714286,22.494857142857143
3,0,34,0,3015,25,473,4,3,1,1,30,2013.6,0,502,115.96153846153847,57.53142857142857
8,0,33,0,15405,180,140,26,2,1,1,25,1331.325,0,346,85.11049723756906,39.15661764705882
2,0,33,0,6420,84,176,22,3,1,1,30,964.16,0,282,75.52941176470588,28.357647058823527
0,0,33,0,795,12,0,7,2,1,2,25,36.315,0,19,61.15384615384615,1.0680882352941177
1,0,34,0,630,12,3,4,2,1,2,25,42.39,0,19,48.46153846153846,1.211142857142857
0,0,33,0,0,0,0,0,2,1,2,25,0.0,1,0,0.0,0.0
2,0,33,0,7428,125,374,39,2,1,1,25,2022.885,0,538,58.95238095238095,59.49661764705883
6,0,33,0,11385,152,1,43,3,1,1,30,465.48,0,196,74.41176470588235,13.690588235294118
7,0,33,0,6638,73,98,33,2,1,1,25,742.995,0,204,89.70270270270271,21.852794117647058
22,0,29,0,875,45,6,13,2,1,2,25,68.4,1,64,19.02173913043478,2.2800000000000002
20,0,32,7,10355,91,0,38,4,1,1,45,261.15,0,129,112.55434782608695,7.913636363636363
12,1,32,0,5738,96,16,20,2,1,1,25,334.53,1,132,59.154639175257735,10.137272727272727
0,0,30,0,2760,20,0,10,3,1,1,30,111.2,0,30,131.42857142857142,3.5870967741935487
8,1,31,0,2910,39,0,12,3,1,2,30,117.96,1,51,72.75,3.68625
8,0,32,0,2188,42,24,27,3,1,2,30,185.2,1,93,50.883720930232556,5.612121212121211
0,1,32,0,0,0,0,0,3,1,2,30,0.0,1,0,0.0,0.0
0,0,32,0,1588,23,0,2,3,1,1,30,64.44,0,25,66.16666666666667,1.9527272727272726
2,0,29,0,6705,95,4,18,4,1,1,45,180.0,0,117,69.84375,6.0
0,0,32,0,0,0,0,0,4,1,2,45,0.0,1,0,0.0,0.0
0,0,32,0,0,0,0,0,5,1,1,55,0.0,0,0,0.0,0.0
24,0,27,2,15995,236,0,76,2,1,1,25,730.395,0,312,67.48945147679325,26.085535714285715
5,0,30,2,6885,114,261,29,2,2,1,25,1489.455,0,404,59.869565217391305,48.04693548387097
1,0,32,0,3638,80,0,24,2,1,1,25,167.31,0,104,44.91358024691358,5.07
2,0,31,0,1585,42,28,16,3,1,2,30,177.08,0,86,36.86046511627907,5.53375
5,0,32,0,2700,51,165,19,2,1,1,25,866.295,0,235,51.92307692307692,26.251363636363635
3,0,23,0,1235,34,183,7,2,2,1,25,880.605,0,224,35.285714285714285,36.691875
3,0,22,0,1488,37,20,64,4,1,1,45,88.125,0,121,39.1578947368421,3.8315217391304346
10,0,23,0,620,23,0,3,2,1,2,25,28.935,0,26,25.833333333333332,1.205625
0,0,22,0,0,0,11,0,4,1,2,45,27.5,0,11,0.0,1.1956521739130435
9,0,21,0,1145,30,9,9,2,1,1,25,93.375,0,48,36.935483870967744,4.244318181818182
1,0,21,0,3145,59,0,19,3,1,1,30,128.16,0,78,52.416666666666664,5.825454545454545
1,0,14,0,1615,24,18,10,2,1,1,25,154.755,0,52,64.6,10.317
15,0,13,0,6313,139,75,38,1,2,1,15,767.36,0,252,45.09285714285714,54.81142857142857
11,0,11,0,8853,169,63,36,4,1,1,45,383.05,0,268,52.076470588235296,31.920833333333334
7,0,12,2,2773,43,21,15,3,1,1,30,196.64,0,79,63.02272727272727,15.126153846153844
1,0,5,0,4310,38,205,6,3,1,1,30,993.92,0,249,110.51282051282051,165.65333333333334
2,0,5,0,1408,17,0,3,3,1,1,30,57.0,1,20,78.22222222222223,9.5
13,0,44,1,4630,81,20,23,3,1,1,30,268.44,0,124,56.46341463414634,5.965333333333334
5,0,45,0,578,15,22,10,3,1,2,30,111.72,0,47,36.125,2.428695652173913
15,0,43,1,2713,70,374,30,3,1,1,30,1607.32,0,474,38.2112676056338,36.53
15,0,44,1,4458,76,16,41,1,1,1,15,337.37,0,133,57.896103896103895,7.497111111111111
8,0,44,1,2653,68,17,39,2,1,1,25,198.945,0,124,38.44927536231884,4.421
16,0,44,2,4035,92,47,34,3,1,1,30,353.08,0,173,43.38709677419355,7.846222222222222
9,0,44,1,2620,49,300,24,3,1,1,30,1306.76,0,373,52.4,29.03911111111111
18,0,43,3,9375,131,159,49,3,1,1,30,1016.24,0,339,71.02272727272727,23.096363636363638
12,0,44,1,14033,179,15,50,3,1,1,30,628.48,0,244,77.96111111111111,13.966222222222223
12,0,44,2,4775,93,17,31,3,1,1,30,262.72,0,141,50.797872340425535,5.838222222222223
11,0,44,1,6178,105,22,18,3,1,1,30,339.32,0,145,58.283018867924525,7.540444444444445
14,1,44,0,2498,64,23,23,3,1,2,30,194.48,0,110,38.43076923076923,4.321777777777777
30,0,44,4,15400,235,69,38,3,1,1,30,901.4,0,342,65.2542372881356,20.03111111111111
9,0,44,2,3355,37,498,14,3,1,1,30,2127.68,0,549,88.28947368421052,47.281777777777776
14,0,43,1,15745,192,165,36,2,1,1,25,1459.665,0,393,81.58031088082902,33.17420454545454
8,0,43,2,6760,96,201,32,3,1,1,30,1078.24,0,329,69.69072164948453,24.505454545454544
5,0,43,0,1135,24,15,17,2,1,2,25,119.655,0,56,45.4,2.719431818181818
7,0,44,0,970,24,28,14,3,1,2,30,151.76,0,66,38.8,3.372444444444444
5,0,43,0,260,10,15,6,2,1,2,25,79.65,1,31,23.636363636363637,1.8102272727272728
8,0,43,1,7768,137,399,49,3,1,1,30,1912.2,0,585,56.289855072463766,43.45909090909091
12,0,43,2,11725,164,26,53,4,1,1,45,362.225,0,243,71.06060606060606,8.232386363636364
13,0,43,2,6978,85,123,43,2,1,1,25,871.335,0,251,81.13953488372093,19.803068181818183
28,1,39,0,1215,57,31,23,3,1,2,30,174.88,1,111,20.948275862068964,4.372
26,0,42,9,10695,103,16,48,5,2,1,55,185.97,0,167,102.83653846153847,4.324883720930233
18,0,42,2,6078,108,41,30,2,1,1,25,462.87,0,179,55.76146788990825,10.764418604651162
6,0,40,1,3100,32,15,20,3,1,1,30,185.28,0,67,93.93939393939394,4.519024390243903
14,1,41,0,3250,51,24,22,3,1,2,30,228.04,1,97,62.5,5.429523809523809
14,1,42,0,2528,54,49,37,4,1,2,45,187.05,1,140,45.96363636363636,4.3500000000000005
5,0,42,0,393,12,15,8,3,1,2,30,76.2,1,35,30.23076923076923,1.772093023255814
6,0,42,1,1928,35,15,12,4,1,1,45,86.575,0,62,53.55555555555556,2.0133720930232557
8,0,39,2,7045,107,29,28,5,1,1,55,150.78,0,164,65.23148148148148,3.7695
5,0,42,0,888,17,24,10,4,1,2,45,82.625,1,51,49.333333333333336,1.9215116279069768
5,0,42,2,598,14,19,8,5,1,1,55,37.68,0,41,39.86666666666667,0.8762790697674419
30,1,37,4,16335,248,15,86,2,1,1,25,813.735,0,349,65.60240963855422,21.41407894736842
11,1,40,4,7225,126,286,39,3,2,1,30,1438.04,0,451,56.889763779527556,35.07414634146341
7,0,42,1,3978,92,17,34,3,1,1,30,230.8,0,143,42.774193548387096,5.367441860465116
8,0,41,0,1925,54,53,26,3,1,2,30,291.16,0,133,35.0,6.932380952380953
11,0,42,1,3040,63,190,29,2,1,1,25,994.635,0,282,47.5,23.131046511627908
