Complains,Subscription Length,Frequency of use,Seconds of Use,Distinct Called Numbers,Customer_Engagement,Average_Call_Duration,Status,Revenue_Per_Month,Customer Value,Churn
0,9,19,1488,7,26,74.4,1,6.0280000000000005,60.28,1
0,40,74,4430,19,103,59.06666666666667,1,5.369756097560976,220.16,0
0,41,8,378,6,26,42.0,1,1.5104761904761903,63.44,0
0,39,63,2513,26,453,39.265625,1,38.976,1559.04,0
0,40,69,4258,37,112,60.82857142857143,1,6.609390243902439,270.985,0
0,40,61,2453,35,103,39.564516129032256,1,3.527560975609756,144.63,0
0,40,85,3835,30,152,44.593023255813954,1,7.434146341463415,304.8,0
0,40,42,2420,20,352,56.27906976744186,1,30.694634146341464,1258.48,0
0,39,124,9175,45,318,73.4,1,24.199,967.96,0
0,40,172,13833,46,223,79.95953757225433,1,14.151219512195125,580.2,0
0,40,86,4575,27,120,52.58620689655172,1,5.230243902439025,214.44,0
0,40,98,5978,14,124,60.38383838383838,1,7.098536585365854,291.04,0
0,40,57,2298,19,89,39.62068965517241,1,3.565853658536585,146.2,0
0,40,228,15200,34,321,66.37554585152839,1,20.80780487804878,853.12,0
0,40,30,3155,10,528,101.7741935483871,1,50.71707317073171,2079.4,0
0,39,185,15545,32,372,83.5752688172043,1,35.13375,1405.35,0
0,39,89,6560,28,308,72.88888888888889,1,25.749,1029.96,0
0,39,17,935,13,35,51.94444444444444,1,1.6335000000000002,65.34,0
0,40,17,770,10,45,42.77777777777778,1,2.5239024390243903,103.48,0
1,39,3,60,2,10,15.0,1,0.633375,25.335,1
0,39,130,7568,45,564,57.770992366412216,1,46.598,1863.92,0
0,39,157,11525,49,222,72.94303797468355,1,8.30125,332.05,0
0,39,78,6778,39,230,85.79746835443038,1,20.4255,817.02,0
1,35,50,1015,19,90,19.90196078431373,1,3.5166666666666666,126.6,1
1,38,96,10495,44,146,108.1958762886598,1,4.304230769230769,167.865,0
0,38,101,5878,26,158,57.62745098039216,1,10.475769230769233,408.555,0
0,36,25,2900,16,46,111.53846153846152,1,3.702702702702703,137.0,0
0,37,44,3050,18,76,67.77777777777777,1,4.730526315789473,179.76,1
1,38,47,2328,33,119,48.5,1,6.435897435897436,251.0,1
0,38,5,193,4,14,32.166666666666664,1,0.7158974358974359,27.92,1
0,38,28,1728,8,41,59.58620689655172,1,1.446153846153846,56.4,0
0,35,100,6845,24,143,67.77227722772277,1,3.685416666666667,132.675,0
0,38,10,688,6,30,62.54545454545455,1,1.344871794871795,52.45,1
0,38,7,398,4,20,49.75,1,0.5019230769230769,19.575,0
0,33,241,16135,82,328,66.67355371900827,1,22.335882352941177,759.42,0
1,36,119,7025,35,430,58.54166666666666,1,37.56108108108108,1389.76,0
0,38,85,3778,30,122,43.93023255813954,1,4.680000000000001,182.52,0
0,37,47,1725,22,112,35.9375,1,6.391578947368421,242.88,0
0,38,56,2840,25,261,49.82456140350877,1,24.110769230769236,940.32,0
0,29,39,1375,13,250,34.375,1,28.28533333333333,848.56,0
0,28,42,1628,70,147,37.86046511627907,1,4.456896551724138,129.25,0
0,29,28,760,9,52,26.20689655172414,1,3.0506666666666664,91.52,0
0,28,13,885,5,44,63.21428571428572,1,3.0155172413793103,87.45,0
0,27,35,1285,15,74,35.69444444444444,1,5.978571428571429,167.4,0
0,27,64,3285,25,102,50.53846153846154,1,6.641428571428572,185.96,0
0,20,29,1755,16,78,58.5,1,10.894285714285717,228.78,0
0,19,144,6453,44,278,44.50344827586207,1,35.09325,701.865,0
0,17,174,8993,42,294,51.38857142857143,1,14.139166666666666,254.505,0
0,18,48,2913,21,105,59.44897959183673,1,13.812631578947368,262.44,0
0,11,43,4450,12,275,101.13636363636364,1,88.31,1059.72,0
1,11,22,1548,9,36,67.30434782608695,1,6.9,82.8,1
0,36,68,4310,15,83,62.46376811594203,1,5.324594594594594,197.01,0
0,37,2,258,2,6,86.0,2,0.5447368421052632,20.7,0
0,35,57,2393,22,433,41.25862068965517,1,47.3125,1703.25,0
0,36,63,4138,33,96,64.65625,1,6.2447297297297295,231.055,0
0,36,55,2333,31,86,41.660714285714285,1,3.5497297297297297,131.34,0
0,36,79,3715,26,132,46.4375,1,7.02054054054054,259.76,0
0,36,36,2300,16,332,62.16216216216216,1,32.795675675675675,1213.44,0
0,35,118,9055,41,298,76.09243697478992,1,25.636666666666667,922.92,0
0,36,166,13713,42,208,82.11377245508982,1,15.004324324324324,555.16,0
0,36,80,4455,23,103,55.0,1,4.902702702702703,181.4,0
0,36,92,5858,10,104,62.98924731182796,1,7.47972972972973,276.75,0
1,36,51,2178,15,69,41.88461538461539,2,2.734054054054054,101.16,0
0,36,222,15080,30,301,67.62331838565022,1,21.84,808.08,0
0,36,24,3035,6,508,121.4,1,54.9827027027027,2034.36,0
0,35,179,15425,28,352,85.69444444444444,1,37.63,1354.68,0
0,35,83,6440,24,288,76.66666666666667,1,27.358888888888888,984.92,0
0,35,11,815,9,20,67.91666666666667,2,1.0325,37.17,0
0,36,11,650,6,25,54.16666666666666,2,1.776891891891892,65.745,0
0,35,0,0,0,0,0.0,2,0.0,0.0,1
0,35,124,7448,41,544,59.584,1,56.84,2046.24,0
0,35,151,11405,45,202,75.03289473684211,1,13.506666666666668,486.24,0
0,35,72,6658,35,210,91.2054794520548,1,21.2875,766.35,0
0,31,44,895,15,70,19.88888888888889,2,2.86734375,91.755,1
0,34,90,10375,40,130,114.010989010989,1,7.475,261.625,0
0,34,95,5758,22,138,59.97916666666666,1,10.225285714285716,357.885,1
0,32,19,2780,12,31,139.0,1,3.3927272727272726,111.96,0
0,33,38,2930,14,56,75.12820512820512,2,4.45764705882353,151.56,1
1,34,41,2208,29,99,52.57142857142857,2,5.884571428571429,205.96,1
1,34,0,0,0,0,0.0,2,0.0,0.0,1
0,34,22,1608,4,26,69.91304347826087,1,1.862857142857143,65.2,0
0,31,94,6725,20,123,70.78947368421052,1,6.03046875,192.975,0
0,34,4,568,2,10,113.6,2,0.6942857142857143,24.3,1
0,34,0,0,0,0,0.0,1,0.0,0.0,0
0,29,235,16015,78,313,67.86016949152543,1,24.375,731.25,0
0,32,113,6905,31,410,60.57017543859649,1,45.84272727272728,1512.81,0
0,34,79,3658,26,105,45.725,1,4.804714285714286,168.165,0
0,33,41,1605,18,92,38.21428571428572,2,5.818823529411765,197.84,0
0,34,50,2720,21,241,53.333333333333336,1,25.41857142857143,889.65,0
0,25,33,1255,9,230,36.91176470588236,1,34.76769230769231,903.96,0
0,24,36,1508,66,127,40.75675675675676,1,4.044,101.1,0
0,25,22,640,5,32,27.82608695652174,2,2.0111538461538463,52.29,0
1,24,7,765,1,24,95.625,2,2.372,59.3,1
0,23,29,1165,11,54,38.833333333333336,1,4.8637500000000005,116.73,0
0,23,58,3165,21,82,53.644067796610166,1,5.871666666666666,140.92,0
0,16,23,1635,12,58,68.125,1,10.477058823529411,178.11,0
0,15,138,6333,40,258,45.56115107913669,1,49.7440625,795.905,0
0,13,168,8873,38,274,52.50295857988166,1,28.2875,396.025,0
0,14,42,2793,17,85,64.95348837209302,1,14.493333333333334,217.4,0
0,7,37,4330,8,255,113.94736842105264,1,126.835,1014.68,0
0,7,16,1428,5,21,84.0,1,7.22,57.76,1
0,42,73,4450,21,109,60.13513513513514,1,5.602790697674418,240.92,0
1,43,7,398,8,32,49.75,2,1.913636363636364,84.2,1
0,41,62,2533,28,459,40.20634920634921,1,37.614285714285714,1579.8,0
0,42,68,4278,39,118,62.0,1,6.965813953488372,299.53,0
0,42,60,2473,37,109,40.540983606557376,1,3.9066279069767447,167.985,0
0,42,84,3855,32,158,45.35294117647059,1,7.571162790697675,325.56,0
0,42,41,2440,22,358,58.095238095238095,1,29.749767441860467,1279.24,0
0,41,123,9195,47,324,74.15322580645162,1,23.540952380952383,988.72,0
0,42,171,13853,48,229,80.54069767441861,1,13.975813953488371,600.96,0
0,42,85,4595,29,126,53.43023255813954,1,5.469767441860465,235.2,0
0,42,97,5998,16,130,61.204081632653065,1,7.251162790697674,311.8,0
0,42,56,2318,21,95,40.66666666666666,2,3.882790697674418,166.96,0
0,42,227,15220,36,327,66.75438596491227,1,20.322790697674417,873.88,0
0,42,29,3175,12,534,105.83333333333331,1,48.84093023255814,2100.16,0
0,41,184,15565,34,378,84.13513513513513,1,34.01678571428571,1428.705,0
0,41,88,6580,30,314,73.93258426966293,1,25.017142857142854,1050.72,0
0,41,16,955,15,41,56.1764705882353,2,2.111785714285714,88.695,0
0,42,16,790,12,51,46.47058823529412,2,2.8893023255813954,124.24,0
0,41,2,80,4,16,26.666666666666668,2,1.1592857142857145,48.69,1
0,41,129,7588,47,570,58.36923076923077,1,44.873333333333335,1884.68,0
0,41,156,11545,51,228,73.53503184713375,1,8.214880952380952,345.025,0
0,41,77,6798,41,236,87.15384615384616,1,20.008928571428573,840.375,0
1,37,49,1035,21,96,20.7,2,3.8778947368421055,147.36,1
1,40,95,10515,46,152,109.53125,1,4.284146341463415,175.65,0
0,40,100,5898,28,164,58.3960396039604,1,10.53439024390244,431.91,1
0,38,24,2920,18,52,116.8,1,4.045128205128205,157.76,0
0,39,43,3070,20,82,69.77272727272727,2,5.013,200.52,1
1,40,46,2348,35,125,49.95744680851064,2,6.628292682926829,271.76,1
0,40,4,213,6,20,42.6,2,1.1873170731707317,48.68,1
0,40,27,1748,10,47,62.42857142857143,1,1.6920731707317074,69.375,0
0,37,99,6865,26,149,68.65,1,3.696315789473685,140.46,0
1,40,9,708,8,36,70.8,2,1.5957317073170731,65.425,1
0,40,6,418,6,26,59.71428571428572,1,0.6673170731707317,27.36,0
0,35,240,16155,84,334,67.03319502074689,1,21.74375,782.775,0
1,38,118,7045,37,436,59.20168067226891,1,40.68807692307693,1586.835,0
0,40,84,3798,32,128,44.68235294117647,1,4.958048780487805,203.28,0
0,39,46,1745,24,118,37.12765957446808,2,6.590999999999999,263.64,0
0,40,55,2860,27,267,51.07142857142857,1,23.504268292682926,963.675,0
0,31,38,1395,15,256,35.76923076923077,1,30.56203125,977.985,0
0,30,41,1648,72,153,39.23809523809524,1,4.587903225806452,142.225,0
0,31,27,780,11,58,27.857142857142858,2,3.50875,112.28,0
0,30,12,905,7,50,69.61538461538461,2,3.239516129032258,100.425,0
0,29,34,1305,17,80,37.285714285714285,1,6.3585,190.755,0
0,29,63,3305,27,108,51.640625,1,6.890666666666666,206.72,0
0,22,28,1775,18,84,61.206896551724135,1,10.962391304347824,252.135,0
0,21,143,6473,46,284,44.951388888888886,1,32.96454545454546,725.22,0
0,19,173,9013,44,300,51.798850574712645,1,13.1145,262.29,0
0,20,47,2933,23,111,61.10416666666666,1,13.485714285714286,283.2,0
0,13,42,4470,14,281,103.95348837209302,1,77.17714285714285,1080.48,0
0,13,21,1568,11,42,71.27272727272727,1,7.397142857142858,103.56,1
0,34,69,4290,13,82,61.285714285714285,1,5.604428571428572,196.155,0
0,35,0,0,0,0,0.0,2,0.0,0.0,0
0,33,58,2373,20,427,40.22033898305085,1,49.40867647058823,1679.895,0
0,34,64,4118,31,95,63.35384615384616,1,6.571714285714285,230.01,0
0,34,56,2313,29,85,40.578947368421055,1,3.722714285714285,130.295,0
0,34,80,3695,24,126,45.617283950617285,1,6.828571428571428,239.0,0
0,34,37,2280,14,326,60.0,1,34.076571428571434,1192.68,0
0,33,119,9035,39,292,75.29166666666667,1,26.53411764705882,902.16,0
0,34,167,13693,40,207,81.50595238095238,1,15.84,554.4,0
0,34,81,4435,21,102,54.08536585365854,1,5.161142857142857,180.64,0
0,34,93,5838,8,101,62.1063829787234,1,7.625571428571428,266.895,0
0,34,52,2158,13,65,40.71698113207548,2,2.525714285714286,88.4,0
0,34,223,15060,28,295,67.23214285714286,1,22.494857142857143,787.32,0
0,34,25,3015,4,502,115.96153846153848,1,57.53142857142857,2013.6,0
0,33,180,15405,26,346,85.11049723756906,1,39.15661764705882,1331.325,0
0,33,84,6420,22,282,75.52941176470588,1,28.357647058823527,964.16,0
0,33,12,795,7,19,61.15384615384615,2,1.0680882352941177,36.315,0
0,34,12,630,4,19,48.46153846153846,2,1.211142857142857,42.39,0
0,33,0,0,0,0,0.0,2,0.0,0.0,1
0,33,125,7428,39,538,58.95238095238095,1,59.49661764705883,2022.885,0
0,33,152,11385,43,196,74.41176470588235,1,13.690588235294118,465.48,0
0,33,73,6638,33,204,89.70270270270271,1,21.852794117647058,742.995,0
0,29,45,875,13,64,19.02173913043478,2,2.28,68.4,1
0,32,91,10355,38,129,112.55434782608695,1,7.913636363636363,261.15,0
1,32,96,5738,20,132,59.154639175257735,1,10.137272727272729,334.53,1
0,30,20,2760,10,30,131.42857142857142,1,3.5870967741935487,111.2,0
1,31,39,2910,12,51,72.75,2,3.68625,117.96,1
0,32,42,2188,27,93,50.88372093023256,2,5.612121212121211,185.2,1
1,32,0,0,0,0,0.0,2,0.0,0.0,1
0,32,23,1588,2,25,66.16666666666667,1,1.9527272727272729,64.44,0
0,29,95,6705,18,117,69.84375,1,6.0,180.0,0
0,32,0,0,0,0,0.0,2,0.0,0.0,1
0,32,0,0,0,0,0.0,1,0.0,0.0,0
0,27,236,15995,76,312,67.48945147679325,1,26.085535714285715,730.395,0
0,30,114,6885,29,404,59.869565217391305,1,48.04693548387097,1489.455,0
0,32,80,3638,24,104,44.91358024691358,1,5.07,167.31,0
0,31,42,1585,16,86,36.86046511627907,2,5.53375,177.08,0
0,32,51,2700,19,235,51.92307692307692,1,26.251363636363635,866.295,0
0,23,34,1235,7,224,35.285714285714285,1,36.691875,880.605,0
0,22,37,1488,64,121,39.1578947368421,1,3.8315217391304346,88.125,0
0,23,23,620,3,26,25.83333333333333,2,1.205625,28.935,0
0,22,0,0,0,11,0.0,2,1.1956521739130437,27.5,0
0,21,30,1145,9,48,36.935483870967744,1,4.244318181818182,93.375,0
0,21,59,3145,19,78,52.41666666666666,1,5.825454545454545,128.16,0
0,14,24,1615,10,52,64.6,1,10.317,154.755,0
0,13,139,6313,38,252,45.09285714285714,1,54.81142857142857,767.36,0
0,11,169,8853,36,268,52.076470588235296,1,31.92083333333333,383.05,0
0,12,43,2773,15,79,63.02272727272727,1,15.126153846153844,196.64,0
0,5,38,4310,6,249,110.51282051282053,1,165.65333333333334,993.92,0
0,5,17,1408,3,20,78.22222222222223,1,9.5,57.0,1
0,44,81,4630,23,124,56.46341463414634,1,5.965333333333334,268.44,0
0,45,15,578,10,47,36.125,2,2.428695652173913,111.72,0
0,43,70,2713,30,474,38.2112676056338,1,36.53,1607.32,0
0,44,76,4458,41,133,57.896103896103895,1,7.497111111111111,337.37,0
0,44,68,2653,39,124,38.44927536231884,1,4.421,198.945,0
0,44,92,4035,34,173,43.38709677419355,1,7.846222222222222,353.08,0
0,44,49,2620,24,373,52.4,1,29.03911111111111,1306.76,0
0,43,131,9375,49,339,71.02272727272727,1,23.09636363636364,1016.24,0
0,44,179,14033,50,244,77.96111111111111,1,13.966222222222225,628.48,0
0,44,93,4775,31,141,50.797872340425535,1,5.838222222222223,262.72,0
0,44,105,6178,18,145,58.283018867924525,1,7.540444444444445,339.32,0
1,44,64,2498,23,110,38.43076923076923,2,4.321777777777777,194.48,0
0,44,235,15400,38,342,65.2542372881356,1,20.03111111111111,901.4,0
0,44,37,3355,14,549,88.28947368421052,1,47.281777777777776,2127.68,0
0,43,192,15745,36,393,81.58031088082902,1,33.17420454545454,1459.665,0
0,43,96,6760,32,329,69.69072164948453,1,24.505454545454544,1078.24,0
0,43,24,1135,17,56,45.4,2,2.719431818181818,119.655,0
0,44,24,970,14,66,38.8,2,3.372444444444444,151.76,0
0,43,10,260,6,31,23.63636363636364,2,1.8102272727272728,79.65,1
0,43,137,7768,49,585,56.289855072463766,1,43.45909090909091,1912.2,0
0,43,164,11725,53,243,71.06060606060606,1,8.232386363636364,362.225,0
0,43,85,6978,43,251,81.13953488372093,1,19.803068181818183,871.335,0
1,39,57,1215,23,111,20.948275862068964,2,4.372,174.88,1
0,42,103,10695,48,167,102.83653846153848,1,4.324883720930233,185.97,0
0,42,108,6078,30,179,55.76146788990825,1,10.764418604651162,462.87,0
0,40,32,3100,20,67,93.93939393939394,1,4.519024390243903,185.28,0
1,41,51,3250,22,97,62.5,2,5.429523809523809,228.04,1
1,42,54,2528,37,140,45.96363636363636,2,4.3500000000000005,187.05,1
0,42,12,393,8,35,30.23076923076923,2,1.772093023255814,76.2,1
0,42,35,1928,12,62,53.55555555555556,1,2.013372093023256,86.575,0
0,39,107,7045,28,164,65.23148148148148,1,3.7695,150.78,0
0,42,17,888,10,51,49.333333333333336,2,1.9215116279069768,82.625,1
0,42,14,598,8,41,39.86666666666667,1,0.8762790697674419,37.68,0
1,37,248,16335,86,349,65.60240963855422,1,21.41407894736842,813.735,0
1,40,126,7225,39,451,56.88976377952756,1,35.07414634146341,1438.04,0
0,42,92,3978,34,143,42.774193548387096,1,5.367441860465116,230.8,0
0,41,54,1925,26,133,35.0,2,6.932380952380953,291.16,0
0,42,63,3040,29,282,47.5,1,23.131046511627908,994.635,0
0,33,46,1575,17,271,33.51063829787234,1,26.37764705882353,896.84,0
0,32,49,1828,74,168,36.56,1,2.8986363636363635,95.655,0
0,33,35,960,13,73,26.666666666666668,2,4.111764705882353,139.8,0
0,32,20,1085,9,65,51.66666666666666,2,3.5643939393939394,117.625,0
0,31,42,1485,19,95,34.53488372093023,1,6.92859375,221.715,0
0,31,71,3485,29,123,48.40277777777778,1,7.32,234.24,0
0,24,36,1955,20,99,52.83783783783784,1,10.0656,251.64,0
0,23,151,6653,48,299,43.76973684210526,1,31.5075,756.18,0
0,21,181,9193,46,315,50.510989010989015,1,12.391363636363636,272.61,0
0,22,55,3113,25,126,55.58928571428572,1,13.509565217391303,310.72,0
0,15,50,4650,16,296,91.17647058823528,1,69.25,1108.0,0
1,15,29,1748,13,57,58.266666666666666,1,8.1925,131.08,1
0,32,61,4110,11,72,66.29032258064517,1,5.6877272727272725,187.695,0
0,33,0,0,0,0,0.0,2,0.0,0.0,0
0,31,50,2193,18,412,43.0,1,51.52921875,1648.935,0
0,32,56,3938,29,85,69.08771929824562,1,6.656666666666666,219.67,0
0,32,48,2133,27,75,43.53061224489796,1,3.635,119.955,0
0,32,72,3515,22,111,48.15068493150685,1,7.209545454545454,237.915,0
0,32,29,2100,12,311,70.0,1,35.30787878787879,1165.16,0
0,31,111,8855,37,277,79.0625,1,27.3325,874.64,0
0,32,159,13513,38,197,84.45625,1,16.57212121212121,546.88,0
0,32,73,4255,19,92,57.5,1,5.246060606060606,173.12,0
0,32,85,5658,6,91,65.79069767441861,1,7.831363636363636,258.435,0
0,32,44,1978,11,55,43.95555555555556,2,2.4509090909090907,80.88,0
0,32,215,14880,26,280,68.88888888888889,1,23.024242424242424,759.8,0
0,32,17,2835,2,487,157.5,1,60.18424242424242,1986.08,0
0,31,172,15225,24,331,88.00578034682081,1,40.63640625,1300.365,0
0,31,76,6240,20,267,81.03896103896103,1,29.27,936.64,0
0,31,4,615,5,9,123.0,2,0.87046875,27.855,0
0,32,4,450,2,6,90.0,2,0.6190909090909091,20.43,0
0,31,0,0,0,0,0.0,2,0.0,0.0,1
0,31,117,7248,37,523,61.42372881355932,1,62.24765625,1991.925,0
0,31,144,11205,41,185,77.27586206896552,1,14.18625,453.96,0
0,31,65,6458,31,189,97.84848484848484,1,22.25109375,712.035,0
1,27,37,695,11,49,18.289473684210527,2,1.337142857142857,37.44,1
0,30,83,10175,36,119,121.13095238095238,1,8.27258064516129,256.45,0
1,30,88,5558,18,117,62.4494382022472,1,9.79258064516129,303.57,1
0,28,12,2580,8,20,198.46153846153845,1,3.575172413793104,103.68,0
0,29,31,2730,10,41,85.3125,2,4.1415,124.245,1
1,30,34,2008,25,78,57.371428571428574,2,5.086451612903226,157.68,1
0,30,0,0,0,0,0.0,2,0.0,0.0,1
0,30,0,0,0,0,0.0,1,0.0,0.0,0
0,27,87,6525,16,103,74.14772727272727,1,5.903571428571429,165.3,0
1,30,0,0,0,0,0.0,2,0.0,0.0,1
1,30,0,0,0,0,0.0,1,0.0,0.0,1
0,25,228,15815,74,302,69.06113537117903,1,27.76673076923077,721.935,0
0,28,106,6705,27,389,62.66355140186916,1,50.29293103448276,1458.495,0
0,30,72,3458,22,94,47.36986301369863,1,5.124193548387097,158.85,0
0,29,34,1405,14,71,40.142857142857146,2,4.985333333333333,149.56,0
0,30,43,2520,17,220,57.27272727272727,1,26.946290322580648,835.335,0
0,21,26,1055,5,209,39.07407407407408,1,38.62022727272727,849.645,0
0,20,29,1308,62,106,43.6,1,3.3773809523809524,70.925,0
0,21,15,440,1,16,27.5,2,0.9306818181818184,20.475,0
0,20,0,0,0,6,0.0,2,0.7142857142857143,15.0,0
0,19,22,965,7,33,41.95652173913044,1,3.12075,62.415,0
0,19,51,2965,17,68,57.01923076923077,1,6.032,120.64,0
0,12,16,1435,8,37,84.41176470588235,1,9.522692307692308,123.795,0
0,11,131,6133,36,237,46.46212121212121,1,60.79333333333333,729.52,0
0,9,161,8673,34,253,53.53703703703704,1,36.585,365.85,0
0,10,35,2593,13,64,72.02777777777777,1,15.374545454545457,169.12,0
0,3,30,4130,4,234,133.2258064516129,1,241.6,966.4,0
1,3,9,1228,1,10,122.8,1,13.91625,55.665,1
0,41,79,4550,22,117,56.875,1,5.932380952380952,249.16,0
0,42,13,498,9,40,35.57142857142857,2,2.4184883720930235,103.995,0
0,40,68,2633,29,467,38.15942028985507,1,38.73268292682927,1588.04,0
0,41,74,4378,40,126,58.373333333333335,1,7.401428571428572,310.86,0
0,41,66,2573,38,117,38.40298507462686,1,5.158214285714286,216.645,0
0,41,90,3955,33,166,43.46153846153846,1,7.947619047619048,333.8,0
0,41,47,2540,23,366,52.91666666666666,1,30.654285714285717,1287.48,0
0,40,129,9295,48,332,71.5,1,24.31609756097561,996.96,0
0,41,177,13953,49,237,78.38764044943821,1,14.504761904761908,609.2,0
0,41,91,4695,30,134,51.03260869565217,1,5.796190476190477,243.44,0
0,41,103,6098,17,138,58.63461538461539,1,7.62,320.04,0
0,41,62,2418,22,103,38.38095238095238,2,4.171428571428571,175.2,0
0,41,233,15320,37,335,65.47008547008546,1,21.002857142857145,882.12,0
0,41,35,3275,13,542,90.97222222222224,1,50.2,2108.4,0
0,40,190,15665,35,386,82.01570680628272,1,35.072560975609754,1437.975,0
0,40,94,6680,31,322,70.3157894736842,1,25.82829268292683,1058.96,0
0,40,22,1055,16,49,45.869565217391305,2,2.3893902439024397,97.965,0
0,41,22,890,13,59,38.69565217391305,2,3.154285714285714,132.48,0
0,40,8,180,5,24,20.0,2,1.4136585365853658,57.96,1
0,40,135,7688,48,578,56.52941176470589,1,51.939878048780486,2129.535,0
0,40,162,11645,52,236,71.44171779141104,1,8.540853658536586,350.175,0
0,40,83,6898,42,244,82.11904761904762,1,20.723048780487805,849.645,0
1,36,55,1135,22,104,20.267857142857142,2,4.731081081081081,175.05,1
0,39,101,10615,47,160,104.0686274509804,1,4.468500000000001,178.74,0
0,39,106,5998,29,172,56.05607476635514,1,11.0295,441.18,0
0,37,30,3020,19,60,97.41935483870968,1,4.368421052631579,166.0,0
1,38,49,3170,21,90,63.4,2,5.352820512820513,208.76,1
1,39,52,2448,36,133,46.18867924528302,2,7.0,280.0,1
1,39,10,313,7,28,28.454545454545453,2,1.423,56.92,1
0,39,33,1848,11,55,54.35294117647059,1,2.981,119.24,0
0,36,105,6965,27,157,65.70754716981132,1,3.87972972972973,143.55,0
0,39,15,808,9,44,50.5,2,1.764375,70.575,1
0,39,12,518,7,34,39.84615384615385,1,0.76125,30.45,0
1,34,246,16255,85,342,65.80971659919028,1,22.62985714285714,792.045,0
0,37,124,7145,38,444,57.16,1,42.00276315789474,1596.105,0
0,39,90,3898,33,136,42.83516483516483,1,5.949,237.96,0
0,38,52,1845,25,126,34.81132075471698,2,6.971282051282051,271.88,0
0,39,61,2960,28,275,47.74193548387097,1,24.323625,972.945,0
1,30,44,1495,16,264,33.22222222222222,1,31.84693548387097,987.255,1
0,29,47,1748,73,161,36.41666666666666,1,4.9125,147.375,0
0,30,33,880,12,66,25.88235294117647,2,4.373709677419355,135.585,0
